chan,cluster
E1,1
E2,2
E3,2
E4,2
E5,2
E6,2
E7,2
E8,3
E9,3
E10,0
E11,2
E12,2
E13,2
E14,2
E15,2
E16,2
E17,3
E18,0
E19,2
E20,2
E21,2
E22,2
E23,2
E24,3
E25,0
E26,2
E27,2
E28,2
E29,2
E30,2
E31,0
E32,0
E33,2
E34,2
E35,2
E36,2
E37,0
E38,2
E39,2
E40,2
E41,2
E42,3
E43,3
E44,3
E45,3
E46,0
E47,2
E48,2
E49,2
E50,3
E51,3
E52,3
E53,3
E54,6
E55,6
E56,2
E57,3
E58,3
E59,3
E60,3
E61,6
E62,6
E63,6
E64,3
E65,3
E66,3
E67,0
E68,6
E69,6
E70,6
E71,3
E72,3
E73,0
E74,6
E75,6
E76,4
E77,4
E78,4
E79,4
E80,3
E81,3
E82,0
E83,6
E84,6
E85,4
E86,4
E87,4
E88,4
E89,4
E90,3
E91,0
E92,0
E93,0
E94,0
E95,6
E96,4
E97,4
E98,4
E99,4
E100,4
E101,4
E102,0
E103,0
E104,0
E105,0
E106,0
E107,5
E108,5
E109,5
E110,4
E111,0
E112,0
E113,0
E114,0
E115,5
E116,5
E117,5
E118,5
E119,4
E120,0
E121,0
E122,0
E123,0
E124,5
E125,5
E126,5
E127,5
E128,4
E129,4
E130,4
E131,3
E132,3
E133,0
E134,0
E135,0
E136,0
E137,5
E138,5
E139,5
E140,5
E141,4
E142,4
E143,4
E144,3
E145,0
E146,0
E147,0
E148,0
E149,5
E150,5
E151,5
E152,4
E153,4
E154,4
E155,3
E156,0
E157,0
E158,0
E159,5
E160,5
E161,4
E162,4
E163,4
E164,3
E165,0
E166,0
E167,0
E168,0
E169,0
E170,4
E171,4
E172,4
E173,3
E174,0
E175,0
E176,0
E177,0
E178,1
E179,1
E180,1
E181,3
E182,3
E183,3
E184,3
E185,3
E186,3
E187,0
E188,0
E189,0
E190,0
E191,1
E192,1
E193,1
E194,3
E195,3
E196,3
E197,3
E198,3
E199,0
E200,0
E201,0
E202,1
E203,1
E204,3
E205,3
E206,3
E207,3
E208,0
E209,0
E210,1
E211,1
E212,2
E213,2
E214,2
E215,2
E216,0
E217,0
E218,0
E219,0
E220,1
E221,1
E222,2
E223,2
E224,2
E225,0
E226,0
E227,0
E228,0
E229,0
E230,0
E231,0
E232,0
E233,0
E234,0
E235,0
E236,0
E237,0
E238,0
E239,0
E240,0
E241,0
E242,0
E243,0
E244,0
E245,0
E246,0
E247,0
E248,0
E249,0
E250,0
E251,0
E252,0
E253,0
E254,0
E255,0
E256,0
Cz,3
